frame,substep,transition,dEnergy,dSpeed,dGXV,dGrad,toStage,toMaxGradName,toMaxGradX,toMaxGradY
272,1,"afterRhs->afterNewGradV",0,0,-0.000005096,-0.000005096,"afterNewGradV","GXV",79,64
272,1,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,2,"beforeCip->afterCipVelocity",0.000076941,-0.000016225,0.00193429,0.00193429,"afterCipVelocity","GXV",79,64
272,2,"afterCipVelocity->afterRhs",-0.000006766,4.48e-7,0,0,"afterRhs","GXV",79,64
272,2,"afterRhs->afterNewGradV",0,0,-0.000005096,-0.000005096,"afterNewGradV","GXV",79,64
272,2,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,3,"beforeCip->afterCipVelocity",0.000078194,-0.000016763,0.001947522,0.001947522,"afterCipVelocity","GXV",79,64
272,3,"afterCipVelocity->afterRhs",-0.000006766,8.52e-7,0,0,"afterRhs","GXV",79,64
272,3,"afterRhs->afterNewGradV",0,0,-0.000005096,-0.000005096,"afterNewGradV","GXV",79,64
272,3,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,4,"beforeCip->afterCipVelocity",0.00007947,-0.000017297,0.001960844,0.001960844,"afterCipVelocity","GXV",79,64
272,4,"afterCipVelocity->afterRhs",-0.00000677,0.000001252,0,0,"afterRhs","GXV",79,64
272,4,"afterRhs->afterNewGradV",0,0,-0.000005096,-0.000005096,"afterNewGradV","GXV",79,64
272,4,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,5,"beforeCip->afterCipVelocity",0.000080768,-0.000017831,0.001974314,0.001974314,"afterCipVelocity","GXV",79,64
272,5,"afterCipVelocity->afterRhs",-0.000006771,0.000001652,0,0,"afterRhs","GXV",79,64
272,5,"afterRhs->afterNewGradV",0,0,-0.000005096,-0.000005096,"afterNewGradV","GXV",79,64
272,5,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,6,"beforeCip->afterCipVelocity",0.000082089,-0.000018361,0.001987875,0.001987875,"afterCipVelocity","GXV",79,64
272,6,"afterCipVelocity->afterRhs",-0.000006774,0.000002047,0,0,"afterRhs","GXV",79,64
272,6,"afterRhs->afterNewGradV",0,0,-0.000005126,-0.000005126,"afterNewGradV","GXV",79,64
272,6,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,7,"beforeCip->afterCipVelocity",0.000083432,-0.000018886,0.002001613,0.002001613,"afterCipVelocity","GXV",79,64
272,7,"afterCipVelocity->afterRhs",-0.000006775,0.000002443,0,0,"afterRhs","GXV",79,64
272,7,"afterRhs->afterNewGradV",0,0,-0.000005126,-0.000005126,"afterNewGradV","GXV",79,64
272,7,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,8,"beforeCip->afterCipVelocity",0.000084798,-0.000019416,0.002015442,0.002015442,"afterCipVelocity","GXV",79,64
272,8,"afterCipVelocity->afterRhs",-0.000006777,0.000002842,0,0,"afterRhs","GXV",79,64
272,8,"afterRhs->afterNewGradV",0,0,-0.000005126,-0.000005126,"afterNewGradV","GXV",79,64
272,8,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,9,"beforeCip->afterCipVelocity",0.000086188,-0.000019937,0.002029389,0.002029389,"afterCipVelocity","GXV",79,64
272,9,"afterCipVelocity->afterRhs",-0.00000678,0.00000323,0,0,"afterRhs","GXV",79,64
272,9,"afterRhs->afterNewGradV",0,0,-0.000005126,-0.000005126,"afterNewGradV","GXV",79,64
272,9,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,10,"beforeCip->afterCipVelocity",0.000087602,-0.000020458,0.002043486,0.002043486,"afterCipVelocity","GXV",79,64
272,10,"afterCipVelocity->afterRhs",-0.000006782,0.000003621,0,0,"afterRhs","GXV",79,64
272,10,"afterRhs->afterNewGradV",0,0,-0.000005156,-0.000005156,"afterNewGradV","GXV",79,64
272,10,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
272,11,"beforeCip->afterCipVelocity",0.000089042,-0.000020978,0.002057672,0.002057672,"afterCipVelocity","GXV",79,64
272,11,"afterCipVelocity->afterRhs",-0.000006784,0.000004013,0,0,"afterRhs","GXV",79,64
272,11,"afterRhs->afterNewGradV",0,0,-0.000005156,-0.000005156,"afterNewGradV","GXV",79,64
272,11,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,0,"beforeCip->afterCipVelocity",0.000090508,-0.000021495,0.002072006,0.002072006,"afterCipVelocity","GXV",79,64
273,0,"afterCipVelocity->afterRhs",-0.000006787,0.0000044,0,0,"afterRhs","GXV",79,64
273,0,"afterRhs->afterNewGradV",0,0,-0.000005156,-0.000005156,"afterNewGradV","GXV",79,64
273,0,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,1,"beforeCip->afterCipVelocity",0.000091997,-0.000022011,0.00208649,0.00208649,"afterCipVelocity","GXV",79,64
273,1,"afterCipVelocity->afterRhs",-0.000006789,0.000004784,0,0,"afterRhs","GXV",79,64
273,1,"afterRhs->afterNewGradV",0,0,-0.000005156,-0.000005156,"afterNewGradV","GXV",79,64
273,1,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,2,"beforeCip->afterCipVelocity",0.000093514,0.000133817,0.002101064,0.002101064,"afterCipVelocity","GXV",79,64
273,2,"afterCipVelocity->afterRhs",-0.000006792,-0.000067495,0,0,"afterRhs","GXV",79,64
273,2,"afterRhs->afterNewGradV",0,0,-0.000005156,-0.000005156,"afterNewGradV","GXV",79,64
273,2,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,3,"beforeCip->afterCipVelocity",0.000095059,0.000238285,0.002115816,0.002115816,"afterCipVelocity","GXV",79,64
273,3,"afterCipVelocity->afterRhs",-0.000006795,-0.000067876,0,0,"afterRhs","GXV",79,64
273,3,"afterRhs->afterNewGradV",0,0,-0.000005186,-0.000005186,"afterNewGradV","GXV",79,64
273,3,"afterNewGradV->afterNewGradU",0,0,0,0,"afterNewGradU","GXV",79,64
273,4,"beforeCip->afterCipVelocity",0.00009663,0.000240352,0.002130687,0.002130687,"afterCipVelocity","GXV",79,64
273,4,"afterCipVelocity->afterRhs",-0.000006799,-0.000068253,0,0,"afterRhs","GXV",79,64
273,4,"afterRhs->afterNewGradV",0,0,-0.000005186,-0.000005186,"afterNewGradV","GXV",79,64
